,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
1606,RU000A104107,Аквилон-Лизинг БО-01-001P,АквилонЛP1,33.03,13.25,2024-11-12,2023-02-14,A,1000.0,1 years 10 months
1762,RU000A104YT6,ГК Самолет БО-П12,СамолетP12,33.03,13.25,2025-07-11,2023-01-13,A,1000.0,2 years 6 months
477,RU000A0ZZ984,ГТЛК БО 001P-10,ГТЛК 1P-10,33.21,13.32,2033-05-20,2023-03-03,A,1000.0,10 years 5 months
634,RU000A100PB0,ГУП ЖКХ РС (Я) БО-01,ЖКХРСЯ БО1,33.66,13.5,2026-07-28,2023-01-31,A,1000.0,3 years 7 months
999,RU000A101YD6,ЛЕГЕНДА БО 001P-03,ЛЕГЕНДА1P3,33.66,13.5,2023-08-07,2023-02-06,A,1000.0,7 months
1654,RU000A1049M2,ООО Инкаб БО-01,ИнкабБО01,33.66,13.5,2024-12-25,2022-12-28,A,1000.0,2 years 0 months
1657,RU000A104A05,КЛС-Трейд БО-01,КЛС БО-01,33.66,13.5,2026-12-10,2023-03-16,A,1000.0,3 years 11 months
712,RU000A1013N6,Пионер-Лизинг БО-П03,ПионЛизБП3,11.1,13.5,2029-10-04,2023-01-09,A,1000.0,6 years 9 months
624,RU000A100ME1,АРАГОН ООО БО-П02,АРАГОН БП2,33.66,13.5,2029-07-10,2023-01-17,A,1000.0,6 years 6 months
1748,RU000A104WS2,ВУШ БО 001P-01,iВУШ 1P1,33.66,13.5,2025-06-25,2022-12-28,A,1000.0,2 years 6 months
1864,RU000A105DL4,Новые технологии БO-01,НовТехнБ1,67.32,13.5,2027-11-02,2023-05-09,A,1000.0,4 years 10 months
44,RU000A0JTYJ6,ФСК Россети (ПАО)-обл. сер.23,ФСК РС-23,33.98,13.63,2048-04-27,2023-02-27,A,1000.0,25 years 4 months
78,RU000A0JUCG6,"""Российские ЖД"" ОАО БО-10",РЖД БО-10,67.96,13.63,2028-11-29,2023-06-07,A,1000.0,5 years 11 months
51,RU000A0JTZM7,"""Российские ЖД"" ОАО БО-09",РЖД БО-09,67.96,13.63,2028-06-08,2023-06-15,A,1000.0,5 years 5 months
77,RU000A0JUCA9,ФСК Россети(ПАО)-обл. сер.34,ФСК РС-34,33.98,13.63,2048-10-30,2023-03-03,A,1000.0,25 years 10 months
45,RU000A0JTYK4,ФСК Россети(ПАО)-обл. сер.28,ФСК РС-28,33.98,13.63,2048-04-27,2023-02-27,A,1000.0,25 years 4 months
97,RU000A0JUPZ8,"""Российские ЖД"" ОАО БО-19",РЖД БО-19,67.96,13.63,2044-05-20,2023-06-16,A,1000.0,21 years 5 months
43,RU000A0JTY57,"""Российские ЖД"" ОАО БО-18",РЖД БО-18,67.96,13.63,2043-04-29,2023-05-24,A,1000.0,20 years 4 months
76,RU000A0JUC92,ФСК Россети(ПАО)-обл. сер.30,ФСК РС-30,33.98,13.63,2048-10-30,2023-03-03,A,1000.0,25 years 10 months
154,RU000A0JVJS4,"""Российские ЖД"" ОАО БО-14",РЖД БО-14,67.96,13.63,2035-05-29,2023-06-13,A,1000.0,12 years 5 months
555,RU000A1006C3,Пионер-Лизинг БО-П02,ПионЛизБП2,11.3,13.75,2029-01-21,2022-12-24,A,1000.0,6 years 1 months
1693,RU000A104FX7,"ООО ""А Девелопмент"" 01",AAG-01,34.53,13.85,2025-01-23,2023-01-26,A,1000.0,2 years 1 months
879,RU000A101PV6,ТД РКС БО-01,РКСБ01,34.9,14.0,2023-05-23,2023-02-21,A,1000.0,5 months
1771,RU000A105054,ММЦБ ПАО БО-П01-02,ММЦБ П01-2,69.81,14.0,2027-01-26,2023-01-31,A,1000.0,4 years 1 months
1700,RU000A104JF6,Пушкинское ПЗ БО-01,ПушкПЗБО1,34.9,14.0,2026-02-09,2023-02-13,A,1000.0,3 years 1 months
1789,RU000A1053D3,Открытие Брокер СО-09,ОткрБРСО9,32.22,14.0,2025-09-26,2023-03-17,A,1000.0,2 years 9 months
950,RU000A101UL7,ЦГРМ ГЕНЕТИКО,ГЕНЕТИКБ01,34.9,14.0,2025-06-23,2022-12-26,A,1000.0,2 years 6 months
1794,RU000A1053W3,ГЛОРАКС БО-01,ГЛОРАКС 01,34.9,14.0,2025-08-18,2023-02-20,A,1000.0,2 years 7 months
41,RU000A0JTVJ2,"""Россельхозбанк"" (АО) обл.20",РСХБ 20,71.05,14.25,2023-04-11,2023-04-11,A,1000.0,3 months
1668,RU000A104B53,АСПЭК-Домстрой 01,АСПЭКДом01,36.15,14.5,2024-12-19,2023-03-23,A,1000.0,1 years 12 months
1807,RU000A105658,МСБ-Лизинг 002P-06,МСБЛиз2P06,11.92,14.5,2024-09-01,2023-01-10,A,1000.0,1 years 8 months
67,RU000A0JU9M0,"""Российские ЖД"" ОАО БО-15",РЖД БО-15,73.2,14.68,2038-10-11,2023-05-01,A,1000.0,15 years 9 months
72,RU000A0JUAP1,"""Газпром"" ПАО БО-20",ГазпромБ20,73.2,14.68,2043-10-21,2023-05-17,A,1000.0,20 years 10 months
57,RU000A0JU2L7,ФСК Россети(ПАО)-обл. сер.27,ФСК РС-27,36.6,14.68,2048-06-30,2023-01-31,A,1000.0,25 years 6 months
146,RU000A0JVDD9,ФСК Россети(ПАО)-обл. сер.38,ФСК РС-38,36.6,14.68,2050-03-23,2023-01-25,A,1000.0,27 years 3 months
56,RU000A0JU2K9,ФСК Россети(ПАО)-обл. сер.26,ФСК РС-26,36.6,14.68,2048-06-30,2023-01-31,A,1000.0,25 years 6 months
144,RU000A0JVCB5,ФСК Россети(ПАО)-обл. сер.37,ФСК РС-37,36.6,14.68,2050-03-23,2023-01-25,A,1000.0,27 years 3 months
71,RU000A0JUAN6,"""Газпром"" ПАО БО-19",ГазпромБ19,73.2,14.68,2043-10-21,2023-05-17,A,1000.0,20 years 10 months
1687,RU000A104EP6,НЗРМ ООО БО-01,НЗРМ БО-01,12.12,14.75,2026-12-22,2023-01-12,A,1000.0,3 years 12 months
1880,RU000A105GV6,ФПК Гарант-Инвест БО 002Р-05,ГарИнв2P05,36.77,14.75,2025-11-18,2023-02-21,A,1000.0,2 years 11 months
19,RU000A0JS9X1,Ситиматик - Нижний Новгород АО,СитиматНН,123.29,15.0,2036-12-20,2023-04-11,A,1000.0,14 years 0 months
1673,RU000A104BX6,НТЦ ЕВРОВЕНТ БО-П01,ЕВРОВЕНТ 1,12.33,15.0,2024-12-08,2023-01-18,A,1000.0,1 years 11 months
1706,RU000A104K37,Сибэнергомаш - БКЗ 01,СибЭнМаш01,37.4,15.0,2025-02-13,2023-02-16,A,1000.0,2 years 1 months
1712,RU000A104KS7,ТД РКС-Сочи 002Р-02,РКС2Р2,37.4,15.0,2025-02-18,2023-02-21,A,1000.0,2 years 1 months
1740,RU000A104VK1,Открытие Брокер СО-04,ОткрБРСО4,34.52,15.0,2025-06-26,2023-03-09,A,1000.0,2 years 6 months
1913,RU000A105M59,ЛК Роделен БО 001Р-03,Роделен1P3,12.33,15.0,2027-11-19,2023-01-14,A,1000.0,4 years 11 months
203,RU000A0JWB59,"АКБ ""Держава"" 03",Держава 03,74.79,15.0,2036-02-29,2023-03-17,A,1000.0,13 years 2 months
63,RU000A0JU7B7,"""Российские ЖД"" ОАО БО-13",РЖД БО-13,76.29,15.3,2033-09-19,2023-04-03,A,1000.0,10 years 9 months
64,RU000A0JU7S1,ФСК Россети (ПАО)-обл. сер.29,ФСК РС-29,38.15,15.3,2048-09-07,2023-01-09,A,1000.0,25 years 8 months
109,RU000A0JUX71,"""Российские ЖД"" ОАО БО-16",РЖД БО-16,76.29,15.3,2039-09-20,2023-04-11,A,1000.0,16 years 9 months
1730,RU000A104U68,ИНГРАД 002P-03,ИНГРАД 2P3,76.34,15.31,2032-05-14,2023-05-26,A,1000.0,9 years 4 months
1711,RU000A104KM0,СЕЛЛ-Сервис БО-П01,СЕЛЛСерв01,13.15,16.0,2025-02-06,2023-01-18,A,1000.0,2 years 1 months
1623,RU000A104479,Открытие Брокер СО-05,ОткрБРСО5,36.82,16.0,2024-12-12,2023-02-09,A,1000.0,1 years 11 months
1861,RU000A105CL6,СОБИ-ЛИЗИНГ 001Р-01,СОБИЛИЗ1Р1,13.15,16.0,2025-10-16,2022-12-31,A,1000.0,2 years 9 months
1437,RU000A103DB0,Открытие Брокер СО-03,ОткрБРСО3,36.82,16.0,2024-07-22,2023-03-06,A,1000.0,1 years 7 months
1851,RU000A105BP9,РЕАТОРГ 001Р-01,РЕАТОРГ1Р1,39.89,16.0,2025-10-21,2023-01-24,A,1000.0,2 years 10 months
1842,RU000A105AX5,ПАТРИОТ ГРУПП БО-01,ПАТРИОТ 01,39.89,16.0,2025-10-14,2023-01-17,A,1000.0,2 years 9 months
59,RU000A0JU542,"""Российские ЖД"" ОАО БО-12",РЖД БО-12,80.28,16.1,2033-08-18,2023-03-02,A,1000.0,10 years 8 months
1735,RU000A104V00,Пионер-Лизинг БР5,ПионЛизБР5,13.43,16.34,2032-04-15,2023-01-03,A,1000.0,9 years 3 months
1752,RU000A104XJ9,МГКЛ 001Р-01,МГКЛ 1P1,41.14,16.5,2026-12-29,2023-01-03,A,1000.0,4 years 0 months
1250,RU000A102LF6,Пионер-Лизинг БО-П04,ПионЛизБП4,41.14,16.5,2030-12-13,2023-03-24,A,1000.0,7 years 11 months
1702,RU000A104JV3,АйДи Коллект 02,АйДиКоле02,13.56,16.5,2025-01-31,2023-01-12,A,1000.0,2 years 1 months
1859,RU000A105C93,Сибирское Стекло БО-П03,СибСтекП03,13.97,17.0,2025-10-12,2022-12-27,A,1000.0,2 years 9 months
299,RU000A0JXN21,"АФК ""Система"" ПАО БО-001P-06",СистемБ1P6,84.77,17.0,2027-03-26,2023-03-31,A,1000.0,4 years 3 months
172,RU000A0JVUK8,"АФК ""Система"" ПАО БО 001P-01",СистемБ1P1,84.77,17.0,2025-09-30,2023-04-04,A,1000.0,2 years 9 months
1790,RU000A1053H4,Лизинг-Трейд 001P-05,ЛТрейд 1P5,13.97,17.0,2027-07-22,2023-01-14,A,1000.0,4 years 7 months
1886,RU000A105H98,Эфферон 01,Эфферон01,43.63,17.5,2027-11-18,2023-02-23,A,1000.0,4 years 11 months
156,RU000A0JVLA8,Магистраль двух столиц кл. А2,МДС кл.А2,44.36,17.6,2030-06-19,2022-12-31,A,1000.0,7 years 5 months
1911,RU000A105LS2,Реиннольц 001Р-02,Реиннол1P2,44.88,18.0,2026-12-08,2023-03-14,A,1000.0,3 years 11 months
1810,RU000A1056T2,Центр-резерв БО-02,ЦР БО-02,14.79,18.0,2026-08-25,2023-01-13,A,1000.0,3 years 8 months
1788,RU000A1053C5,Открытие Брокер СО-07,ОткрБРСО7,41.42,18.0,2025-09-05,2023-02-24,A,1000.0,2 years 8 months
1773,RU000A1050X7,НИКА 001Р-01,НИКА 1Р01,44.88,18.0,2025-07-29,2023-01-31,A,1000.0,2 years 7 months
1852,RU000A105BW5,АО СПМК БО-01,СПМК БО-01,44.88,18.0,2025-10-23,2023-01-26,A,1000.0,2 years 10 months
1015,RU000A102028,ЭНЕРГОНИКА 001Р-01,ЭНИКА 1Р01,44.88,18.0,2025-07-31,2023-02-02,A,1000.0,2 years 7 months
1796,RU000A105492,ЭНЕРГОНИКА 001Р-03,ЭНИКА 1Р03,44.88,18.0,2027-08-17,2023-02-21,A,1000.0,4 years 7 months
149,RU000A0JVF98,Магистраль двух столиц кл. А1,МДС кл.А1,45.62,18.1,2030-05-10,2022-12-31,A,1000.0,7 years 4 months
1738,RU000A104VA2,Ред Софт БО 002Р-03,РедСофт2P3,47.37,19.0,2024-12-04,2023-03-08,A,1000.0,1 years 11 months
1751,RU000A104XE0,Лизинг-Трейд 001P-04,ЛТрейд 1P4,15.62,19.0,2027-06-09,2023-01-01,A,1000.0,4 years 5 months
397,RU000A0ZYGF7,ООО Трансп.Концесс.Комп. кл.A3,ТКК кл. А3,193.97,19.397,2033-12-31,2023-09-26,A,1000.0,11 years 0 months
1749,RU000A104WZ7,Электроаппарат БО-01,ЭлАп БО-01,48.62,19.5,2026-06-25,2022-12-29,A,1000.0,3 years 6 months
1841,RU000A105AW7,Завод КЭС 001Р-03,ЗавдКЭС1Р3,49.86,20.0,2026-10-13,2023-01-17,A,1000.0,3 years 9 months
1847,RU000A105BC7,Открытие Брокер СО-08,ОткрБРСО8,48.33,21.0,2025-11-06,2023-02-02,A,1000.0,2 years 10 months
1727,RU000A104TG3,Центр-резерв БО-01,ЦР БО-01,18.08,22.0,2025-10-28,2023-01-12,A,1000.0,2 years 10 months
568,RU000A1007U3,АРАГОН ООО БО-П01,АРАГОН БП1,59.84,24.0,2029-03-16,2023-03-24,A,1000.0,6 years 2 months
1728,RU000A104TM1,Хайтэк-Интеграция БО-01,ХайТэк 01,59.84,24.0,2025-05-15,2023-02-16,A,1000.0,2 years 4 months
1721,RU000A104RW4,Открытие Брокер СО-06,ОткрБРСО6,57.53,25.0,2025-05-27,2023-02-07,A,1000.0,2 years 5 months
