,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
1293,RU000A102SM7,СДЭК Глобал БО-П01,СДЭКГлБП01,7.81,9.5,2027-02-24,2023-01-16,A,1000.0,4 years 2 months
532,RU000A0ZZZY5,Концерн РОССИУМ ООО 001P-02,РОССИУМ1P2,47.37,9.5,2028-12-13,2023-06-21,A,1000.0,5 years 11 months
642,RU000A100QA0,ГК Самолет БО-П06,Самолет1P6,23.68,9.5,2029-08-01,2023-02-08,A,1000.0,6 years 7 months
190,RU000A0JVZA8,Концерн РОССИУМ ООО БО-01,РОССИУМ Б1,47.37,9.5,2025-11-14,2023-05-19,A,1000.0,2 years 10 months
529,RU000A0ZZZ25,РосДорБанк ПАО об. 02,РосДорБ 02,47.37,9.5,2024-12-12,2023-06-15,A,1000.0,1 years 11 months
279,RU000A0JX2X9,"ПАО ""АНК ""Башнефть""БО-001P-02R",БашнфБ1P2R,47.37,9.5,2023-12-14,2023-06-15,A,1000.0,11 months
282,RU000A0JX413,ПАО НК Роснефть 001P-03,Роснфт1P3,47.37,9.5,2026-12-17,2023-06-22,A,1000.0,3 years 11 months
1922,RU000A105N58,Концерн РОССИУМ ООО 003P-01,РОССИУМ3P1,47.37,9.5,2032-12-07,2023-06-20,A,1000.0,9 years 11 months
276,RU000A0JX2Q3,"ПАО ""АНК ""Башнефть"" БО-10",БашнфтБО10,47.37,9.5,2026-12-10,2023-06-15,A,1000.0,3 years 11 months
663,RU000A100VS2,Атомстройкомплекс 01,Атомстр 01,47.37,9.5,2024-09-24,2023-03-28,A,1000.0,1 years 9 months
392,RU000A0ZYFS2,ТрансФин-М ПАО 001P-05,ТрансФ1P05,47.37,9.5,2027-11-03,2023-05-10,A,1000.0,4 years 10 months
1569,RU000A103WR6,ЭР-Телеком Холдинг ПБО-02-01,ТелХолБ2-1,23.68,9.5,2023-10-20,2023-01-20,A,1000.0,10 months
1248,RU000A102LB5,ПРОМОМЕД ДМ 001P-01,iПМЕДДМ1Р1,47.37,9.5,2023-12-22,2023-06-23,A,1000.0,12 months
110,RU000A0JUZZ7,ТрансФин-М ПАО БО-37,ТрансФБО37,47.37,9.5,2024-11-11,2023-05-15,A,1000.0,1 years 10 months
303,RU000A0JXPJ6,Полипласт АО П01-БО-01,ПолиплП1Б1,47.37,9.5,2023-04-18,2023-04-18,A,1000.0,3 months
157,RU000A0JVLM3,Россети Ленэнерго ПАО БО-05,РСетиЛЭБО5,47.37,9.5,2025-07-09,2023-01-11,A,1000.0,2 years 6 months
1305,RU000A102TT0,ИНАРКТИКА 001Р-01,Инаркт1Р1,47.37,9.5,2024-03-06,2023-03-08,A,1000.0,1 years 2 months
1601,RU000A1040S8,Минфин Ульяновской обл. 34004,Ульоб34004,23.81,9.55,2026-11-10,2023-03-16,A,1000.0,3 years 10 months
1613,RU000A104362,Восточная Стивидор.Ком 1P-02R,ВСК 1P-02R,47.62,9.55,2026-11-17,2023-05-23,A,1000.0,3 years 10 months
1781,RU000A1051U1,МТС-Банк ПАО 001P-02,МТС-Банк02,23.81,9.55,2025-08-01,2023-02-03,A,1000.0,2 years 7 months
1653,RU000A1049K6,АЛЬФА-БАНК Б2Р16,АЛЬФАБ2Р16,47.88,9.55,2023-06-18,2023-06-18,A,1000.0,5 months
1916,RU000A105M83,ВЭБ.РФ ПБО-001Р-35,ВЭБ1P-35,47.62,9.55,2025-12-11,2023-06-15,A,1000.0,2 years 11 months
543,RU000A1003A4,ГТЛК БО 001P-13,ГТЛК 1P-13,23.86,9.57,2034-01-20,2023-02-03,A,1000.0,11 years 1 months
1680,RU000A104CL9,РЕСО-Лизинг ООО БО-П-21,РЕСОЛиБП21,7.89,9.6,2024-12-13,2022-12-24,A,1000.0,1 years 11 months
1651,RU000A104925,Россельхозбанк БO-11-002P,РСХБ2Р11,47.87,9.6,2024-12-12,2023-06-15,A,1000.0,1 years 11 months
1325,RU000A102Y58,Брусника 001P-02,Брус 1P02,23.93,9.6,2024-04-01,2023-01-02,A,1000.0,1 years 3 months
270,RU000A0JX2B5,КАМАЗ ПАО БО-15,КАМАЗ БО15,48.02,9.63,2031-12-02,2023-06-13,A,1000.0,8 years 11 months
229,RU000A0JWMS6,Транснефть ПАО БО-001P-02,ТрнфБО1P2,48.12,9.65,2023-06-30,2022-12-30,A,1000.0,6 months
1747,RU000A104WJ1,Мобильные ТелеСистемы 001P-21,МТС 1P-21,24.06,9.65,2026-06-22,2022-12-26,A,1000.0,3 years 6 months
1866,RU000A105DR1,ФСК Россети БО-07,ФСК РС БО7,24.18,9.7,2057-09-25,2023-02-07,A,1000.0,34 years 9 months
421,RU000A0ZYLU6,ДОМ.РФ (АО) БО 001P-01R,ДОМ.РФ1P1R,24.18,9.7,2027-12-13,2023-03-20,A,1000.0,4 years 11 months
1865,RU000A105DN0,ФСК Россети БО-06,ФСК РС БО6,24.18,9.7,2057-09-25,2023-02-07,A,1000.0,34 years 9 months
1617,RU000A1043G7,ГК Сегежа 002P-02R,Сегежа2P2R,48.37,9.7,2036-11-04,2023-05-23,A,1000.0,13 years 10 months
226,RU000A0JWLU4,"""Российские ЖД"" ОАО 42 обл.",РЖД-42 обл,48.37,9.7,2046-05-22,2023-06-20,A,1000.0,23 years 5 months
1906,RU000A105KW6,ЕАБР 003P-005,ЕАБР П3-05,48.37,9.7,2025-12-03,2023-06-07,A,1000.0,2 years 11 months
296,RU000A0JXME4,ПАО ЧТПЗ 001P-03,ЧТПЗ 1P3,24.18,9.7,2024-03-21,2023-03-23,A,1000.0,1 years 2 months
171,RU000A0JVT43,Концерн РОССИУМ ООО 01 об.,РОССИУМ 01,48.62,9.75,2025-09-15,2023-03-20,A,1000.0,2 years 8 months
1621,RU000A1043N3,КАМАЗ ПАО БО-П09,КАМАЗ БОП9,24.31,9.75,2023-11-22,2023-02-22,A,1000.0,11 months
1027,RU000A1021A6,Концерн РОССИУМ ООО 002P-02,РОССИУМ2P2,48.62,9.75,2030-08-05,2023-02-13,A,1000.0,7 years 7 months
1287,RU000A102S23,Агрофирма-племзавод Победа 1Р1,Победа1Р1,24.31,9.75,2024-02-15,2023-02-16,A,1000.0,1 years 1 months
528,RU000A0ZZZ17,Нижнекамскнефтехим об. 001Р-01,НКНХ 1Р-01,48.62,9.75,2028-12-07,2023-06-15,A,1000.0,5 years 11 months
